Nr.,Name,Nametech,Area,Area misc.,Importance,Parent,Decade,Year,Country?
,Hardcore Dancehall,hardcoredancehall,jamaican,hiphop,3,Dancehall,1980s,mid-1980s,Jamaica
,Jamaican Folk,jamaicanfolk,jamaican,folk,4,(none),1600s,17th-century colonial-era syncretism,Jamaica
,Lovers Rock,loversrock,jamaican,soulful,3,Reggae,1970s,mid-1970s,UK
,Mento,mento,jamaican,folk,4,Jamaican Folk,1940s,late 1940s,Jamaica
,Nyabinghi,nyabinghi,jamaican,folk,3,Rastafari Music,1950s,1950s,Jamaica
,Ragga,ragga,jamaican,hiphop,4,Dancehall,1980s,mid-1980s,"Jamaica, UK"
,Rastafari Music,rastafarimusic,jamaican,folk,3,Jamaican Folk,1950s,1950s,Jamaica
,Reggae,reggae,jamaican,soulful,5,Rocksteady,1960s,late 1960s,Jamaica
,Reggae Fusion,reggaefusion,jamaican,pop,4,Reggae,1980s,late 1980s,"Jamaica, USA"
,Rocksteady,rocksteady,jamaican,soulful,4,Ska,1960s,mid-1960s,Jamaica
,Roots Reggae,rootsreggae,jamaican,soulful,5,Reggae,1960s,late 1960s,Jamaica
,Ska,ska,jamaican,jazz,5,Mento,1950s,late 1950s,Jamaica
,Ska Jazz,skajazz,jamaican,jazz,3,Ska,1990s,early 1990s,"USA, Europe"
,Toasting,toasting,jamaican,hiphop,5,Reggae,1960s,late 1960s,Jamaica
,Two Tone,twotone,jamaican,rock,5,Ska,1970s,late 1970s,UK
,Dancehall Pop,dancehallpop,jamaican,pop,4,Dancehall,2000s,early-2000s,"Jamaica, USA, UK, Canada"
,Acid Jazz,acidjazz,jazz,soulful,4,Jazz-Funk,1980s,mid-1980s,UK
,Afro-Cuban Jazz,afrocubanjazz,jazz,latin,4,Cubop,1940s,late 1940s,"USA, Cuba"
,Avant-Garde Jazz,avantgardejazz,jazz,experimental,4,Free Jazz,1950s,late 1950s,USA
,Bebop,bebop,jazz,,5,Swing,1940s,early 1940s,USA
,Boogie-Woogie,boogiewoogie,jazz,soulful,4,Blues,1920s,late 1920s,USA
,Brazilian Jazz,brazilianjazz,jazz,latin,4,Bossa Nova,1960s,early 1960s,"Brazil, USA"
,Cape Jazz,capejazz,jazz,african,4,Marabi,1950s,late 1950s,South Africa
,Chicago Jazz,chicagojazz,jazz,,4,New Orleans Jazz,1910s,late 1910s,USA
,Cool Jazz,cooljazz,jazz,,5,Bebop,1940s,late 1940s,USA
,Cubop,cubop,jazz,latin,4,Bebop,1940s,mid-1940s,"USA, Cuba"
,Dixieland Jazz,dixielandjazz,jazz,,5,New Orleans Jazz,1910s,1910s,USA
,Ethio-Jazz,ethiojazz,jazz,african,4,Jazz,1960s,late 1960s,Ethiopia
,Foxtrot,foxtrot,jazz,pop,4,Ragtime,1910s,1910s,USA
,Free Jazz,freejazz,jazz,experimental,5,Jazz,1950s,late 1950s,USA
,Gypsy Jazz,gypsyjazz,jazz,folk,5,Swing,1930s,early 1930s,France
,Hard Bop,hardbop,jazz,soulful,5,Bebop,1950s,mid-1950s,USA
,Jazz,jazz,jazz,soulful,5,Blues,1900s,early 1900s,USA
,Jazz Fusion,jazzfusion,jazz,rock,5,Jazz,1960s,late 1960s,USA
